Level,XpToReach,RewardId,RewardKind,ItemId,ItemAmount,CurrencyId,CurrencyAmount
1,0,account_level_1,None,,0,,0
2,100,account_level_2,Currency,,0,Copper,500
3,250,account_level_3,Item,consumable_blood_pack,5,,0
4,450,account_level_4,Currency,,0,Silk,200
5,700,account_level_5,Item,mat_forge_stone,8,,0
6,1000,account_level_6,Currency,,0,Copper,1000
7,1350,account_level_7,Item,consumable_armor_medicine,5,,0
8,1750,account_level_8,Currency,,0,Silk,300
9,2200,account_level_9,Item,mat_alloy_advanced,4,,0
10,2700,account_level_10,Currency,,0,Gold,300
11,3250,account_level_11,None,,0,,0
12,3850,account_level_12,Item,special_makeup_card,1,,0
13,4500,account_level_13,None,,0,,0
14,5200,account_level_14,Currency,,0,Silk,500
15,5950,account_level_15,Item,soul_heng_duan,1,,0
16,6750,account_level_16,Currency,,0,Copper,3000
17,7600,account_level_17,None,,0,,0
18,8500,account_level_18,Item,mat_golem_stone,6,,0
19,9450,account_level_19,None,,0,,0
20,10450,account_level_20,Currency,,0,Gold,500
21,11500,account_level_21,None,,0,,0
22,12600,account_level_22,Item,armor_iron,1,,0
23,13750,account_level_23,None,,0,,0
24,14950,account_level_24,Currency,,0,Silk,900
25,16200,account_level_25,Item,soul_po_jun,1,,0
26,17500,account_level_26,Item,mat_dragon_scale,4,,0
27,18850,account_level_27,None,,0,,0
28,20250,account_level_28,Currency,,0,Gold,800
29,21700,account_level_29,None,,0,,0
30,23200,account_level_30,Item,soul_bu_qu,1,,0
