AchievementId,Category,DisplayName,Description,SortOrder,TargetProgress,AchievementXp,SourceEvent,IsActiveInP1,RewardKind,ItemId,ItemAmount,CurrencyId,CurrencyAmount
ach_adv_first_hero,Adventure,初入江湖,首次选择出战英雄。,1010,1,50,HeroSelected,1,Currency,,0,Copper,200
ach_adv_first_weapon,Adventure,择兵而立,首次选择出战兵器。,1020,1,50,WeaponSelected,1,Currency,,0,Copper,200
ach_adv_first_pet,Adventure,同行之灵,首次选择出战宠物。,1030,1,50,PetSelected,1,Currency,,0,Copper,200
ach_adv_avatar_change,Adventure,改头换面,更换头像或头像框3次。,1040,3,60,AvatarChanged,1,Currency,,0,Copper,300
ach_adv_signin_7,Adventure,月旦有信,累计签到7次。,1050,7,120,SignInClaimed,1,Item,special_makeup_card,1,,0
ach_adv_first_friend,Adventure,萍水相逢,添加第一位好友。,1060,1,80,FriendAdded,1,Currency,,0,Silk,100
ach_adv_first_chat,Adventure,把酒言欢,发送第一条私聊消息。,1070,1,60,ChatMessageSent,1,Currency,,0,Copper,300
ach_adv_expedition_1,Adventure,首次远行,完成一次远征结算。,1080,1,150,ExpeditionCompleted,0,Currency,,0,Silk,300
ach_bat_kill_100,Battle,百战之始,累计击败100只怪物。,2010,100,150,MonsterKilled,0,Currency,,0,Copper,1500
ach_bat_counter_20,Battle,后发制人,累计反击成功20次。,2020,20,150,CounterSuccess,0,Item,consumable_blood_pack,5,,0
ach_bat_execute_10,Battle,一击必杀,累计处决成功10次。,2030,10,180,ExecuteSuccess,0,Item,consumable_armor_medicine,5,,0
ach_bat_boss_dragon,Battle,屠龙之志,首次击败赤霄炎龙。,2040,1,400,BossDefeated,0,Item,mat_dragon_core,1,,0
ach_forge_first,Forge,初试炉火,首次完成一次武器强化。,3010,1,60,ForgeUpgraded,1,Currency,,0,Copper,300
ach_forge_level_5,Forge,小有所成,任意武器强化至5级。,3020,5,120,ForgeWeaponLevel,1,Item,mat_forge_stone,5,,0
ach_forge_level_10,Forge,炉火纯青,任意武器强化至10级。,3030,10,240,ForgeWeaponLevel,1,Item,mat_alloy_advanced,5,,0
ach_forge_level_20,Forge,登峰造极,任意武器强化至20级。,3040,20,600,ForgeWeaponLevel,1,Item,mat_dragon_scale,5,,0
ach_wealth_copper_10000,Wealth,铜山之富,累计消费10000铜币。,4010,10000,120,CurrencySpentCopper,1,Currency,,0,Copper,1000
ach_wealth_silk_5000,Wealth,幻丝千缕,累计消费5000幻丝。,4020,5000,200,CurrencySpentSilk,1,Currency,,0,Silk,500
ach_wealth_gold_3000,Wealth,一掷千金,累计消费3000金币。,4030,3000,260,CurrencySpentGold,1,Currency,,0,Gold,300
ach_wealth_shop_50,Wealth,常客,累计在商店购买50件物品。,4040,50,150,ShopPurchased,1,Item,special_teleport_scroll,5,,0
ach_wealth_gacha_100,Wealth,匣中乾坤,累计抽奖100次。,4050,100,300,GachaPulled,1,Item,mat_dragon_scale,3,,0
ach_wealth_kinds_30,Wealth,包罗万象,仓库中同时拥有30种不同物品。,4060,30,200,InventoryItemKindCount,1,Currency,,0,Silk,600
