AvatarId,DisplayName,SortOrder,IconKey,UnlockRule
avatar_01,浪剑客,1,avatar_01_wandering_swordsman_1024x1024,Default
avatar_02,刀舞者,2,avatar_02_blade_dancer_1024x1024,Default
avatar_03,枪术宗师,3,avatar_03_spear_master_1024x1024,Default
avatar_04,碧玉医者,4,avatar_04_jade_healer_1024x1024,Default
avatar_05,影袭刺客,5,avatar_05_shadow_assassin_1024x1024,Default
avatar_06,霜羽弓手,6,avatar_06_frost_archer_1024x1024,Default
avatar_07,雷罚武僧,7,avatar_07_thunder_monk_1024x1024,Default
avatar_08,锻炉战士,8,avatar_08_forge_warrior_1024x1024,Default
avatar_09,荒漠赏金猎人,9,avatar_09_desert_bounty_hunter_1024x1024,Default
avatar_10,通灵巫女,10,avatar_10_spirit_medium_1024x1024,Default
avatar_11,护龙卫,11,avatar_11_dragon_guard_1024x1024,Default
avatar_12,凤翎统领,12,avatar_12_phoenix_commander_1024x1024,Default
avatar_13,白虎拳士,13,avatar_13_white_tiger_brawler_1024x1024,Default
avatar_14,青莲书生,14,avatar_14_lotus_scholar_1024x1024,Default
avatar_15,行吟乐师,15,avatar_15_wandering_musician_1024x1024,Default
avatar_16,毒理炼金师,16,avatar_16_poison_alchemist_1024x1024,Default
avatar_17,镇岳哨卫,17,avatar_17_mountain_sentinel_1024x1024,Default
avatar_18,月下决斗者,18,avatar_18_moonlit_duelist_1024x1024,Default
avatar_19,帝国军师,19,avatar_19_imperial_tactician_1024x1024,Default
avatar_20,天穹枪圣,20,avatar_20_celestial_spear_saint_1024x1024,Default
