RecipeId,WeaponId,FromLevel,ToLevel,CurrencyId,CurrencyAmount,Material1ItemId,Material1Amount,Material2ItemId,Material2Amount
forge_ls_01_02,weapon_longsword,1,2,Copper,200,mat_forge_stone,2,mat_ore_basic,5
forge_ls_02_03,weapon_longsword,2,3,Copper,320,mat_forge_stone,3,mat_ore_basic,6
forge_ls_03_04,weapon_longsword,3,4,Copper,440,mat_forge_stone,3,mat_ore_basic,7
forge_ls_04_05,weapon_longsword,4,5,Copper,560,mat_forge_stone,4,mat_ore_basic,8
forge_ls_05_06,weapon_longsword,5,6,Copper,680,mat_forge_stone,4,mat_ore_basic,9
forge_ls_06_07,weapon_longsword,6,7,Copper,800,mat_forge_stone,5,mat_ore_basic,10
forge_ls_07_08,weapon_longsword,7,8,Copper,1200,mat_forge_stone,7,mat_alloy_advanced,2
forge_ls_08_09,weapon_longsword,8,9,Copper,1460,mat_forge_stone,8,mat_alloy_advanced,3
forge_ls_09_10,weapon_longsword,9,10,Copper,1720,mat_forge_stone,9,mat_alloy_advanced,4
forge_ls_10_11,weapon_longsword,10,11,Copper,1980,mat_forge_stone,10,mat_alloy_advanced,5
forge_ls_11_12,weapon_longsword,11,12,Copper,2240,mat_forge_stone,11,mat_alloy_advanced,6
forge_ls_12_13,weapon_longsword,12,13,Copper,2500,mat_forge_stone,12,mat_alloy_advanced,7
forge_ls_13_14,weapon_longsword,13,14,Copper,2760,mat_forge_stone,13,mat_alloy_advanced,8
forge_ls_14_15,weapon_longsword,14,15,Silk,400,mat_forge_stone,15,mat_dragon_scale,1
forge_ls_15_16,weapon_longsword,15,16,Silk,580,mat_forge_stone,16,mat_dragon_scale,2
forge_ls_16_17,weapon_longsword,16,17,Silk,760,mat_forge_stone,17,mat_dragon_scale,3
forge_ls_17_18,weapon_longsword,17,18,Silk,940,mat_forge_stone,18,mat_dragon_scale,4
forge_ls_18_19,weapon_longsword,18,19,Silk,1120,mat_forge_stone,19,mat_dragon_scale,5
forge_ls_19_20,weapon_longsword,19,20,Silk,1300,mat_forge_stone,20,mat_dragon_scale,6
forge_tc_01_02,weapon_tachi,1,2,Copper,200,mat_forge_stone,2,mat_ore_basic,5
forge_tc_02_03,weapon_tachi,2,3,Copper,320,mat_forge_stone,3,mat_ore_basic,6
forge_tc_03_04,weapon_tachi,3,4,Copper,440,mat_forge_stone,3,mat_ore_basic,7
forge_tc_04_05,weapon_tachi,4,5,Copper,560,mat_forge_stone,4,mat_ore_basic,8
forge_tc_05_06,weapon_tachi,5,6,Copper,680,mat_forge_stone,4,mat_ore_basic,9
forge_tc_06_07,weapon_tachi,6,7,Copper,800,mat_forge_stone,5,mat_ore_basic,10
forge_tc_07_08,weapon_tachi,7,8,Copper,1200,mat_forge_stone,7,mat_alloy_advanced,2
forge_tc_08_09,weapon_tachi,8,9,Copper,1460,mat_forge_stone,8,mat_alloy_advanced,3
forge_tc_09_10,weapon_tachi,9,10,Copper,1720,mat_forge_stone,9,mat_alloy_advanced,4
forge_tc_10_11,weapon_tachi,10,11,Copper,1980,mat_forge_stone,10,mat_alloy_advanced,5
forge_tc_11_12,weapon_tachi,11,12,Copper,2240,mat_forge_stone,11,mat_alloy_advanced,6
forge_tc_12_13,weapon_tachi,12,13,Copper,2500,mat_forge_stone,12,mat_alloy_advanced,7
forge_tc_13_14,weapon_tachi,13,14,Copper,2760,mat_forge_stone,13,mat_alloy_advanced,8
forge_tc_14_15,weapon_tachi,14,15,Silk,400,mat_forge_stone,15,mat_dragon_scale,1
forge_tc_15_16,weapon_tachi,15,16,Silk,580,mat_forge_stone,16,mat_dragon_scale,2
forge_tc_16_17,weapon_tachi,16,17,Silk,760,mat_forge_stone,17,mat_dragon_scale,3
forge_tc_17_18,weapon_tachi,17,18,Silk,940,mat_forge_stone,18,mat_dragon_scale,4
forge_tc_18_19,weapon_tachi,18,19,Silk,1120,mat_forge_stone,19,mat_dragon_scale,5
forge_tc_19_20,weapon_tachi,19,20,Silk,1300,mat_forge_stone,20,mat_dragon_scale,6
