ItemId,DisplayName,Category,Quality,StackLimit,SortOrder,IconKey,SellCurrencyId,SellPrice,Description
consumable_blood_pack,血包,Consumable,White,99,1010,item_blood_pack,Copper,20,立即恢复300点生命。施放1.2秒，受击打断，与甲药共享8秒药品冷却。
consumable_armor_medicine,甲药,Consumable,White,99,1020,item_armor_medicine,Copper,20,立即恢复250点护甲耐久。施放1.2秒，受击打断，与血包共享8秒药品冷却。
special_teleport_scroll,传送符,Special,White,99,2010,slice14_14,Copper,15,脱战状态下可直接返回地图一重生点。
special_makeup_card,补签卡,Special,Blue,99,2020,slice15_15,Silk,0,七日签到周期内补签一个漏签日。每个周期最多使用一张。
mat_ore_basic,粗铁矿石,Material,White,999,3010,material_ore_basic,Copper,5,最常见的锻造原料。
mat_forge_stone,锻造石,Material,Blue,999,3020,material_ore_refined,Copper,30,提炼后的锻造核心材料。武器强化的主要消耗品。
mat_alloy_advanced,玄金合金,Material,Purple,999,3030,material_alloy_advanced,Silk,40,高阶锻造合金。用于后期武器强化。
mat_wolf_fang,妖狼獠牙,Material,White,999,3110,material_wolf_fang,Copper,8,暮影妖狼掉落的锐利獠牙。
mat_wolf_hide,妖狼皮,Material,White,999,3120,material_wolf_hide,Copper,8,暮影妖狼掉落的厚实兽皮。
mat_spider_venom,腐毒囊,Material,White,999,3130,material_spider_venom,Copper,10,腐毒蛛体内尚未破裂的毒囊。
mat_snake_scale,紫鳞,Material,Blue,999,3140,material_snake_scale,Copper,18,紫鳞王蛇脱落的坚硬鳞片。
mat_bee_stinger,妖蜂针,Material,Blue,999,3150,material_bee_stinger,Copper,18,金翅妖蜂折断的尾针。
mat_bat_eye,夜蝠之瞳,Material,Blue,999,3160,material_bat_eye,Copper,20,独眸夜蝠留下的单眼。
mat_treant_root,古灵根须,Material,Blue,999,3170,material_treant_root,Copper,22,缚根古灵断裂的根须。
mat_golem_stone,岳心石,Material,Purple,999,3210,material_golem_stone,Silk,15,镇岳石魔核心处的致密岩石。
mat_magma_core,烬核,Material,Purple,999,3220,material_magma_core,Silk,15,烬核魔爆裂后残留的余烬。
mat_treant_seed,古灵之种,Material,Purple,999,3230,material_treant_seed,Silk,18,缚根古灵体内孕育的种子。
mat_mimic_key,匣妖钥,Material,Gold,999,3310,material_mimic_key,Silk,60,吞金匣妖伪装用的锁钥。
mat_dragon_scale,赤霄鳞,Material,Gold,999,3320,material_dragon_scale,Silk,80,赤霄炎龙剥落的赤色鳞甲。
mat_dragon_bone,赤霄骨,Material,Gold,999,3330,material_dragon_bone,Silk,90,赤霄炎龙的骨骼碎片。
mat_dragon_core,赤霄龙核,Material,Red,999,3340,material_dragon_core,Silk,200,赤霄炎龙体内燃烧的核心。
armor_cloth,青布甲,Armor,White,20,4010,armor_cloth,Copper,30,最基础的布制护甲。护甲耐久较低但轻便。
armor_ranger,游侠皮甲,Armor,Blue,20,4020,armor_ranger,Copper,180,经过硝制的皮质护甲。兼顾耐久与机动。
armor_iron,玄铁重铠,Armor,Purple,20,4030,armor_iron,Silk,150,厚重的玄铁全身铠。护甲耐久很高。
armor_dragon,赤霄龙铠,Armor,Gold,20,4040,armor_dragon,Silk,600,以赤霄鳞锻造的重铠。护甲耐久极高。
soul_feng_rui,锋锐,Soulstone,White,20,5010,souljade_feng_rui,Copper,50,提高攻击力。
soul_hou_jia,厚甲,Soulstone,White,20,5020,souljade_hou_jia,Copper,50,提高护甲耐久上限。
soul_gu_yuan,固元,Soulstone,White,20,5030,souljade_gu_yuan,Copper,50,提高生命上限。
soul_qing_shen,轻身,Soulstone,White,20,5040,souljade_qing_shen,Copper,50,提高移动速度。
soul_xing_qi,行气,Soulstone,White,20,5050,souljade_xing_qi,Copper,50,加快体力恢复。
soul_hui_xiang,回响,Soulstone,White,20,5060,souljade_hui_xiang,Copper,50,缩短技能冷却。
soul_heng_duan,横断,Soulstone,Blue,20,5110,souljade_heng_duan,Copper,140,提高横击伤害。
soul_chuan_yun,穿云,Soulstone,Blue,20,5120,souljade_chuan_yun,Copper,140,提高纵击伤害。
soul_jian_ren,坚韧,Soulstone,Blue,20,5130,souljade_jian_ren,Copper,140,降低受到的伤害。
soul_ji_feng,疾风,Soulstone,Blue,20,5140,souljade_ji_feng,Copper,140,提高攻击速度。
soul_hui_feng,回风,Soulstone,Blue,20,5150,souljade_hui_feng,Copper,140,降低闪避体力消耗。
soul_zhu_jia,铸甲,Soulstone,Blue,20,5160,souljade_zhu_jia,Copper,140,提高护甲恢复效率。
soul_xu_shi,蓄势,Soulstone,Blue,20,5170,souljade_xu_shi,Copper,140,加快蓄力速度。
soul_hu_xin,护心,Soulstone,Blue,20,5180,souljade_hu_xin,Copper,140,低生命时降低受到的伤害。
soul_po_jun,破军,Soulstone,Purple,20,5210,souljade_po_jun,Silk,120,大幅提高破韧效率。
soul_jue_feng,绝锋,Soulstone,Purple,20,5220,souljade_jue_feng,Silk,120,提高第三段普攻伤害。
soul_tie_bi,铁壁,Soulstone,Purple,20,5230,souljade_tie_bi,Silk,120,提高霸体期间的减伤。
soul_zhen_hun,镇魂,Soulstone,Purple,20,5240,souljade_zhen_hun,Silk,120,提高处决伤害。
soul_ling_shan,凌闪,Soulstone,Purple,20,5250,souljade_ling_shan,Silk,120,延长闪避无敌帧。
soul_du_yu,渡厄,Soulstone,Purple,20,5260,souljade_du_yu,Silk,120,反击成功时恢复少量生命。
