ProductId,ItemId,ShopCategory,CurrencyId,UnitPrice,PurchaseLimit,SortOrder,IsAvailable
shop_blood_pack,consumable_blood_pack,Consumable,Copper,60,0,1010,1
shop_armor_medicine,consumable_armor_medicine,Consumable,Copper,60,0,1020,1
shop_teleport_scroll,special_teleport_scroll,Special,Copper,45,0,2010,1
shop_makeup_card,special_makeup_card,Special,Silk,300,4,2020,1
shop_ore_basic,mat_ore_basic,Material,Copper,15,0,3010,1
shop_forge_stone,mat_forge_stone,Material,Copper,90,0,3020,1
shop_alloy_advanced,mat_alloy_advanced,Material,Silk,120,0,3030,1
shop_snake_scale,mat_snake_scale,Material,Copper,54,0,3040,1
shop_treant_root,mat_treant_root,Material,Copper,66,0,3050,1
shop_golem_stone,mat_golem_stone,Material,Silk,45,0,3060,1
shop_magma_core,mat_magma_core,Material,Silk,45,0,3070,1
shop_dragon_scale,mat_dragon_scale,Material,Silk,240,10,3080,1
shop_armor_cloth,armor_cloth,Armor,Copper,90,0,4010,1
shop_armor_ranger,armor_ranger,Armor,Copper,540,0,4020,1
shop_armor_iron,armor_iron,Armor,Silk,450,0,4030,1
shop_armor_dragon,armor_dragon,Armor,Silk,1800,1,4040,1
shop_soul_feng_rui,soul_feng_rui,Soulstone,Copper,150,0,5010,1
shop_soul_hou_jia,soul_hou_jia,Soulstone,Copper,150,0,5020,1
shop_soul_gu_yuan,soul_gu_yuan,Soulstone,Copper,150,0,5030,1
shop_soul_heng_duan,soul_heng_duan,Soulstone,Copper,420,0,5110,1
shop_soul_chuan_yun,soul_chuan_yun,Soulstone,Copper,420,0,5120,1
shop_soul_jian_ren,soul_jian_ren,Soulstone,Copper,420,0,5130,1
shop_soul_po_jun,soul_po_jun,Soulstone,Silk,360,2,5210,1
shop_soul_tie_bi,soul_tie_bi,Soulstone,Silk,360,2,5220,1
