WeaponId,Level,Attack,AttackSpeed
weapon_longsword,1,120,1.00
weapon_longsword,2,128,1.00
weapon_longsword,3,136,1.00
weapon_longsword,4,144,1.00
weapon_longsword,5,152,1.00
weapon_longsword,6,160,1.00
weapon_longsword,7,168,1.00
weapon_longsword,8,176,1.00
weapon_longsword,9,184,1.00
weapon_longsword,10,192,1.00
weapon_longsword,11,200,1.00
weapon_longsword,12,208,1.00
weapon_longsword,13,216,1.00
weapon_longsword,14,224,1.00
weapon_longsword,15,232,1.00
weapon_longsword,16,240,1.00
weapon_longsword,17,248,1.00
weapon_longsword,18,256,1.00
weapon_longsword,19,264,1.00
weapon_longsword,20,272,1.00
weapon_tachi,1,105,1.15
weapon_tachi,2,112,1.15
weapon_tachi,3,119,1.15
weapon_tachi,4,126,1.15
weapon_tachi,5,133,1.15
weapon_tachi,6,140,1.15
weapon_tachi,7,147,1.15
weapon_tachi,8,154,1.15
weapon_tachi,9,161,1.15
weapon_tachi,10,168,1.15
weapon_tachi,11,175,1.15
weapon_tachi,12,182,1.15
weapon_tachi,13,189,1.15
weapon_tachi,14,196,1.15
weapon_tachi,15,203,1.15
weapon_tachi,16,210,1.15
weapon_tachi,17,217,1.15
weapon_tachi,18,224,1.15
weapon_tachi,19,231,1.15
weapon_tachi,20,238,1.15
